project_name,_id,name,subject_id,golden_mouse,genotype,date_of_birth,sex,modality,session_date,age,session_time,column,volume
V1 Deep Dive,3b85c659-20c8-438f-ab58-de1aac3b81cf,416296_2018-11-29_12-08-40_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-29,115,12:08:40.014190,2,5
V1 Deep Dive,b98ce4a9-a66b-4b70-baa6-95ef451ae087,427836_2019-04-25_12-16-58_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-25,199,12:16:58.240890,5,3
V1 Deep Dive,5cccd09c-4ae8-4d8e-ae92-23099d22bbe2,427836_2019-04-24_13-06-45_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-24,198,13:06:45.257460,4,3
V1 Deep Dive,911d215f-dafa-4b39-86f7-b36336974da1,427836_2019-04-25_13-49-39_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-25,199,13:49:39.163550,5,4
V1 Deep Dive,c918f874-d534-4341-b0dc-f1aba388af66,427836_2019-04-26_12-54-40_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-26,200,12:54:40.332660,2,4
V1 Deep Dive,c037259d-b3dd-4b6b-95b5-089555714c02,427836_2019-04-29_15-02-53_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-29,203,15:02:53.992910,4,5
V1 Deep Dive,10200108-768c-432d-91ab-856188ac868b,427836_2019-04-26_14-23-32_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-26,200,14:23:32.162710,2,5
V1 Deep Dive,fbcff5e5-1863-4640-85c0-f6d272f974fa,438833_2019-03-12_15-10-30_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-12,101,15:10:30.850270,1,2
V1 Deep Dive,69b14677-3b46-47f2-b39c-2eeab0ab17c3,427836_2019-04-29_13-36-17_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-29,203,13:36:17.106870,4,4
V1 Deep Dive,c1ac2e97-d88a-4a3d-9fc7-d7e069e7835d,438833_2019-03-14_14-18-27_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-14,103,14:18:27.144330,1,5
V1 Deep Dive,2e44998a-18e5-4a58-8091-1583e13d6962,427836_2019-04-30_10-29-22_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-30,204,10:29:22.878560,3,5
V1 Deep Dive,b272cd82-bb57-4033-9a82-d3cdf09de463,427836_2019-04-30_15-10-52_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-30,204,15:10:52.762930,5,5
V1 Deep Dive,58219f6c-2fec-4cb4-9eb7-d4c0b32e3e60,438833_2019-03-08_14-59-45_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-08,97,14:59:45.383070,1,1
V1 Deep Dive,d5614d31-a64f-4767-91b5-5ebdb813345d,438833_2019-03-14_15-45-30_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-14,103,15:45:30.804180,2,1
V1 Deep Dive,ec1da1c5-b0d9-4edd-aaca-326d8372e331,438833_2019-03-13_15-17-01_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-13,102,15:17:01.062660,1,4
V1 Deep Dive,6847bee8-3e95-4001-8ca2-44bb08b21794,438833_2019-03-15_15-31-03_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-15,104,15:31:03.507360,2,2
V1 Deep Dive,2757f939-01fb-4095-bea3-1d68b2f706a5,438833_2019-03-13_13-47-04_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-13,102,13:47:04.198890,1,3
V1 Deep Dive,e5cde8ad-4ec5-4e00-80ae-5e95227f3f22,438833_2019-03-20_15-17-34_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-20,109,15:17:34.583240,4,1
V1 Deep Dive,245a102e-c5d5-4cf4-a3b7-c8ca06ce7629,438833_2019-03-19_15-15-54_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-19,108,15:15:54.236360,3,1
V1 Deep Dive,a472ff5f-3ad0-4485-9f72-c9447a5747c7,438833_2019-03-21_14-08-14_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-21,110,14:08:14.261290,5,1
V1 Deep Dive,8368050f-65e9-4179-bb03-e031debd9353,438833_2019-03-22_12-48-55_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-22,111,12:48:55.564300,2,3
V1 Deep Dive,6ca46acb-3b04-4456-b2c1-0086e7803942,438833_2019-03-22_14-15-29_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-22,111,14:15:29.744600,2,4
V1 Deep Dive,1effeb0c-c021-455e-857f-0c9e9ff1ae10,438833_2019-03-25_13-35-06_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-25,114,13:35:06.011390,3,2
V1 Deep Dive,8b62692a-7ac5-4d4a-a52a-059933e22bd3,438833_2019-03-27_11-33-05_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-27,116,11:33:05.464370,5,2
V1 Deep Dive,7cc79a18-1894-4bcf-b9b5-f8aa7da8f142,438833_2019-03-25_15-10-31_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-25,114,15:10:31.659070,3,3
V1 Deep Dive,5fe0fdcd-e740-4d2a-8f67-491a2455f1dc,438833_2019-03-26_13-10-05_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-26,115,13:10:05.286770,4,2
V1 Deep Dive,dd57a13c-055c-477b-a2ff-121637e20f70,438833_2019-03-26_14-44-46_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-26,115,14:44:46.601660,4,3
V1 Deep Dive,04ab8c4e-bd9f-4d8d-9719-db5a9e6f5feb,438833_2019-03-27_14-24-07_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-27,116,14:24:07.041320,5,3
V1 Deep Dive,6094cea8-31f9-4a59-bf4a-113fe85ceede,438833_2019-03-28_11-31-08_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-28,117,11:31:08.475210,3,4
V1 Deep Dive,91a4c61c-2e73-408e-8278-fc738815a3ce,438833_2019-03-28_13-07-35_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-28,117,13:07:35.360740,3,5
V1 Deep Dive,f3d4568c-2198-47fd-873d-1fb346ce3dca,438833_2019-03-29_13-14-43_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-29,118,13:14:43.095060,4,4
V1 Deep Dive,8caf5e01-4c2c-42e7-a01f-f0ac556136fa,438833_2019-04-01_16-10-33_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-04-01,121,16:10:33.869560,5,5
V1 Deep Dive,a03c96b1-fec7-401d-866f-373a652aa85a,438833_2019-03-29_14-55-11_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-29,118,14:55:11.866780,4,5
V1 Deep Dive,f1de2d83-ffaf-47ca-a795-2acd983153d4,438833_2019-04-01_14-39-42_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-04-01,121,14:39:42.230830,5,4
V1 Deep Dive,4b9f742e-3161-4de0-95ca-62336ade2521,438833_2019-04-02_12-00-00_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-04-02,122,12:00:00.963460,2,5
V1 Deep Dive,8ceff8e1-d9ed-44b4-a051-315484744950,409828_2018-11-06_14-02-59_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-06,126,14:02:59.889330,2,1
V1 Deep Dive,d7cfeabb-99ff-435c-8aa5-f7340798f8ff,409828_2018-11-21_09-22-23_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-21,141,09:22:23.259970,4,1
V1 Deep Dive,e5397ea4-8462-4188-be4b-71931d9cfffd,409828_2018-11-20_10-42-45_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-20,140,10:42:45.603660,3,1
V1 Deep Dive,6498d9ee-9bf4-4980-a302-179ac06814c9,409828_2018-11-20_12-12-08_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-20,140,12:12:08.089640,3,2
V1 Deep Dive,83ab1835-f756-4830-9eba-db30de3290fc,409828_2018-11-28_10-54-56_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-28,148,10:54:56.809310,3,3
V1 Deep Dive,b9c86d99-7622-48c8-8144-899678d84317,409828_2018-11-26_11-16-25_nwb_2025-08-08_16-27-53,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-26,146,11:16:25.373720,5,1
V1 Deep Dive,577a9e60-3b57-4515-bbc5-54ae5ff23a5c,409828_2018-11-27_12-29-05_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-27,147,12:29:05.453040,2,3
V1 Deep Dive,6ebe4b1a-a85b-44c8-985d-4b3f2ffa2db9,409828_2018-11-27_11-01-58_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-27,147,11:01:58.469640,2,2
V1 Deep Dive,274c5194-ffea-4ab3-ab2b-415eaad7faaf,409828_2018-11-21_10-56-07_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-21,141,10:56:07.266840,4,2
V1 Deep Dive,ea2f784b-e9ad-4724-974a-3c6047a30a79,409828_2018-12-03_14-25-24_nwb_2025-08-08_16-27-53,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-03,153,14:25:24.632480,4,3
V1 Deep Dive,8704cd25-6bf4-43a2-8637-0039ef6f2571,409828_2018-12-04_15-27-53_nwb_2025-08-08_16-27-53,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-04,154,15:27:53.082660,5,3
V1 Deep Dive,d1563bb9-d640-4e9a-b9aa-7589fbf3434c,409828_2018-11-29_13-42-04_nwb_2025-08-08_16-27-53,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-11-29,149,13:42:04.672510,5,2
V1 Deep Dive,e1d802e6-b5a6-430a-ab68-369f9e35c903,409828_2018-12-07_15-05-38_nwb_2025-08-08_16-27-52,409828,True,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-07-03,Male,"['Planar optical physiology', 'Behavior videos']",2018-12-07,157,15:05:38.935300,2,5
